Data,Produto,Local,Unidades (massa ou item),Preço total,Obs
02/12/2020,vick vaporub,PagueMenos,1,18.44,
02/12/2020,salompas adesivo,PagueMenos,1,7.05,
02/12/2020,refri coca,BeMais,1,8.99,
02/12/2020,cerveja,BeMais,1,15.98,
02/12/2020,azeite,BeMais,1,39.99,
02/12/2020,cajuina,BeMais,1,7.99,
02/12/2020,suco uva,BeMais,1,11.98,
02/12/2020,fiambre,BeMais,1,5.99,
02/12/2020,fiambre,BeMais,1,5.99,
02/12/2020,queijo prato,BeMais,0.12,4.8,
02/12/2020,amendoin,BeMais,1,5.19,
02/12/2020,saco p lixo,BeMais,1,4.89,
02/12/2020,oleo de coco,BeMais,1,15.99,
02/12/2020,amendoin,BeMais,1,11.99,
02/12/2020,saco p lixo,BeMais,1,8.49,
02/12/2020,salgadinho,BeMais,1,1.59,
02/12/2020,leite em po,BeMais,1,21.99,
02/12/2020,salgadinho,BeMais,1,1.59,
02/12/2020,salgadinho,BeMais,1,1.59,
02/12/2020,salgadinho,BeMais,1,1.59,
02/12/2020,miojo,BeMais,1,1.99,
02/12/2020,miojo,BeMais,1,1.99,
02/12/2020,salgadinho,BeMais,1,1.59,
02/12/2020,salgadinho,BeMais,1,1.59,
02/12/2020,pao de hamburguer,BeMais,1,5.69,
02/12/2020,miojo,BeMais,1,2.89,
02/12/2020,miojo,BeMais,1,2.89,
02/12/2020,miojo,BeMais,1,2.89,
02/12/2020,banana,BeMais,2.32,6.01,
