epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
3,2021-01-23,312,PB,João Pessoa,2507507,city,46509,5689.09776,0,1244,0,0.0267,817511,False,True
3,2021-01-22,311,PB,João Pessoa,2507507,city,46509,5689.09776,510,1244,5,0.0267,817511,True,False
3,2021-01-21,310,PB,João Pessoa,2507507,city,45999,5626.71328,358,1239,6,0.0269,817511,False,False
3,2021-01-20,309,PB,João Pessoa,2507507,city,45641,5582.92182,422,1233,1,0.027,817511,False,False
3,2021-01-19,308,PB,João Pessoa,2507507,city,45219,5531.30172,65,1232,1,0.0272,817511,False,False
3,2021-01-18,307,PB,João Pessoa,2507507,city,45154,5523.35076,77,1231,1,0.0273,817511,False,False
3,2021-01-17,306,PB,João Pessoa,2507507,city,45077,5513.93192,229,1230,1,0.0273,817511,False,False
2,2021-01-16,305,PB,João Pessoa,2507507,city,44848,5485.92007,190,1229,1,0.0274,817511,False,False
2,2021-01-15,304,PB,João Pessoa,2507507,city,44658,5462.67879,164,1228,1,0.0275,817511,False,False
2,2021-01-14,303,PB,João Pessoa,2507507,city,44494,5442.6179,280,1227,3,0.0276,817511,False,False
2,2021-01-13,302,PB,João Pessoa,2507507,city,44214,5408.36759,129,1224,0,0.0277,817511,False,False
2,2021-01-12,301,PB,João Pessoa,2507507,city,44085,5392.58799,276,1224,8,0.0278,817511,False,False
2,2021-01-11,300,PB,João Pessoa,2507507,city,43809,5358.82698,0,1216,0,0.0278,817511,False,True
2,2021-01-10,299,PB,João Pessoa,2507507,city,43809,5358.82698,125,1216,1,0.0278,817511,False,False
1,2021-01-09,298,PB,João Pessoa,2507507,city,43684,5343.53666,157,1215,4,0.0278,817511,False,False
1,2021-01-08,297,PB,João Pessoa,2507507,city,43527,5324.33203,297,1211,5,0.0278,817511,False,False
1,2021-01-07,296,PB,João Pessoa,2507507,city,43230,5288.00224,267,1206,3,0.0279,817511,False,False
